course_num,credits,type,SLN
arctic200,3,I&S,10495
honors397,1,I&S,16145
honors397,1,I&S,16146
archy369,3,I&S,10480
bioa201,5,NW,11386
bioa201,5,NW,11387
bioa201,5,NW,11388
bioa201,5,NW,11389
bioa455,3,NW,11394
bioa455,3,NW,23152
art140,5,VLPA,10503
art140,5,VLPA,10504
art140,5,VLPA,23386
art190,5,VLPA,10505
art190,5,VLPA,10506
art190,5,VLPA,23102
art190,5,VLPA,23103
art233,5,VLPA,23104
art240,5,VLPA,10507
art253,5,VLPA,23108
art253,5,VLPA,23109
art253,5,VLPA,23110
art272,5,VLPA,23111
art272,5,VLPA,23097
art285,5,VLPA,10509
art290,5,VLPA,23099
art290,5,VLPA,23457
art292,5,VLPA,23101
art340,5,VLPA,10510
art353,5,VLPA,10513
art360,5,VLPA,10514
art360,5,VLPA,23105
art390,5,VLPA,23106
art392,5,VLPA,10515
art393,5,VLPA,10516
art440,5,VLPA,10520
art453,5,N/A,10521
art480,5,VLPA,10522
art490,5,VLPA,10523
art494,5,VLPA,10524
design316,5,VLPA,13660
design322,5,VLPA,13661
design445,5,VLPA,13666
design496,2,VLPA,22957
astr192,3,NW,10642
biol119,1,NW,11543
biol119,1,NW,11544
biol119,1,NW,11545
biol119,1,NW,11546
biol119,1,NW,11547
biol119,1,NW,11548
biol250,3,I&S/NW,11639
biol250,3,I&S/NW,11640
biol250,3,I&S/NW,11641
biol250,3,I&S/NW,11642
biol250,3,I&S/NW,11643
biol250,3,I&S/NW,11644
biol302,4,NW,11649
biol302,4,NW,11650
biol310,5,NW,11652
biol310,5,NW,11653
biol400,4,NW,11684
biol400,4,NW,11685
biol427,5,NW,11697
biol427,5,NW,11698
biol427,5,NW,11699
biol427,5,NW,11700
biol441,5,NW,11711
biol441,5,NW,11712
biol443,5,NW,23235
biol474,2,NW,11720
biol474,2,NW,11721
com444,5,I&S,12852
chid235,5,"I&S,DIV",23325
chid235,5,"I&S,DIV",23327
cse143,5,"NW,QSR",13095
cse154,5,QSR,13104
cse154,5,QSR,13106
cse190,1,N/A,13131
cse344,4,N/A,13190
cse390,1,N/A,13234
dance102,2,VLPA,13525
dance102,2,VLPA,13526
dance103,2,VLPA,13530
dance104,2,VLPA,13531
dance166,5,VLPA,13533
dance201,2,VLPA,13534
dance201,2,VLPA,13535
dance204,2,VLPA,13536
dance204,2,VLPA,13537
dance210,1,VLPA,23391
dance236,2,VLPA,13539
dance240,2,VLPA/I&S,23021
dance286,2,VLPA,13545
dance301,2,VLPA,13546
dance301,2,VLPA,13547
dance304,2,VLPA,13549
dance304,2,VLPA,13550
dance310,2,VLPA,23392
dance490,1,VLPA,13556
dance493,3,VLPA/NW,13559
disst235,5,"I&S,DIV",23326
disst235,5,"I&S,DIV",23328
drama251,5,VLPA,13718
drama251,5,VLPA,13719
drama251,5,VLPA,13720
drama251,5,VLPA,13721
drama251,5,VLPA,13722
drama251,5,VLPA,13723
drama251,5,VLPA,13724
drama290,1,VLPA,13726
drama317,2,VLPA,13731
econ496,5,I&S,14003
engl384,5,VLPA,14634
french499,1,N/A,15392
gwss499,1,N/A,15966
genst197,1,N/A,15482
genst199,1,N/A,15491
genst199,1,N/A,15492
genst199,1,N/A,15494
genst199,1,N/A,15495
genst199,1,N/A,15496
genst199,1,N/A,15502
genst199,1,N/A,15504
genst199,1,N/A,15509
genst199,1,N/A,15513
genst199,1,N/A,15514
genst199,1,N/A,15515
genst199,1,N/A,15519
genst199,1,N/A,15522
genst199,1,N/A,15523
genst199,1,N/A,15530
genst199,1,N/A,15531
genst199,1,N/A,15534
genst199,1,N/A,15535
genst199,1,N/A,15543
genst199,1,N/A,15545
genst199,1,N/A,15555
genst199,1,N/A,15557
genst199,1,N/A,15561
genst199,1,N/A,15563
genst199,1,N/A,15565
genst199,1,N/A,15569
genst199,1,N/A,15571
genst199,1,N/A,15576
genst199,1,N/A,15578
genst199,1,N/A,15581
genst199,1,N/A,15583
genst199,1,N/A,15586
genst199,1,N/A,15595
genst199,1,N/A,15596
genst199,1,N/A,15609
genst297,1,N/A,15707
genst346,1,N/A,15723
genst391,0,N/A,15750
genst470,1,N/A,15753
german421,5,VLPA,15898
jsise201,5,N/A,16905
jsise301,5,VLPA,23489
hstam111,5,I&S,16260
hstcmp408,5,I&S,23426
hstaa110,5,"I&S,DIV",16225
hstaa110,5,"I&S,DIV",16226
hstaa110,5,"I&S,DIV",16227
hstaa110,5,"I&S,DIV",16228
hstaa210,5,"I&S,DIV",16231
hstaa210,5,"I&S,DIV",16232
hstaa210,5,"I&S,DIV",16233
hstry491,5,I&S,16331
jsis200,5,I&S,16764
jsis200,5,I&S,16765
jsis200,5,I&S,16766
jsis200,5,I&S,16767
jsis200,5,I&S,16768
jsis200,5,I&S,16769
jsis200,5,I&S,16770
jsis200,5,I&S,16771
jsis200,5,I&S,16772
jsis200,5,I&S,16773
jsis200,5,I&S,16774
jsis278,5,I&S,16779
jsis278,5,I&S,16780
jsis478,1,I&S,16784
jsis486,1,I&S,16788
